,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
336,vargashi,100,RU,1604803413,97,55.36,65.85,36.3,11.3
337,adjumani,100,UG,1604803413,98,3.38,31.79,66.13,2.57
338,mar del plata,90,AR,1604802908,100,-38.0,-57.56,62.01,5.82
339,muborak,100,UZ,1604803414,31,39.26,65.15,55.83,4.99
340,kashin,100,RU,1604803414,82,57.36,37.61,45.61,14.72
341,esperance,1,AU,1604803300,56,-33.87,121.9,73.4,5.82
342,kyren,2,RU,1604803414,82,51.68,102.14,34.03,1.12
343,fayaoue,0,NC,1604803414,78,-20.65,166.53,76.91,15.88
344,kojnare,5,BG,1604803414,100,43.35,24.13,35.6,1.92
345,muisne,98,EC,1604803414,85,0.6,-80.03,74.91,7.34
346,lavrentiya,10,RU,1604803169,95,65.58,-171.0,27.97,5.12
347,tessalit,82,ML,1604803414,25,20.2,1.01,70.14,10.36
348,kasongo-lunda,100,CD,1604803034,93,-6.47,16.82,70.25,0.98
349,sobradinho,24,BR,1604803415,99,-12.83,-39.1,71.4,1.99
350,hay river,95,CA,1604803415,85,60.82,-115.8,12.2,4.7
351,ashland,1,US,1604803408,62,40.82,-82.27,53.01,6.93
352,san juan de colon,100,VE,1604803415,90,8.03,-72.26,68.72,2.51
353,isiro,100,CD,1604803415,98,2.77,27.62,66.47,0.78
354,banda aceh,63,ID,1604803209,69,5.56,95.32,82.87,3.04
355,lucapa,100,AO,1604803188,100,-8.42,20.74,64.31,2.8
356,yeppoon,40,AU,1604803415,47,-23.13,150.73,80.6,16.11
357,olinda,75,BR,1604803415,74,-8.01,-34.86,80.6,10.29
358,adre,0,TD,1604803416,35,13.47,22.2,66.83,11.43
359,okha,100,RU,1604803416,87,53.57,142.95,28.17,15.55
360,pascagoula,40,US,1604803416,78,30.37,-88.56,73.4,6.93
361,udachnyy,0,RU,1604803416,84,66.42,112.4,-0.4,2.24
362,bredy,100,RU,1604803416,85,52.42,60.34,36.09,12.91
363,mahajanga,20,MG,1604803416,83,-15.72,46.32,75.2,5.82
364,nanortalik,100,GL,1604803416,97,60.14,-45.24,29.37,14.61
365,bud,1,US,1604803416,62,39.45,-86.18,57.2,3.36
366,lata,20,PT,1604803175,87,40.16,-8.33,62.01,11.41
367,eagle pass,0,US,1604803417,59,28.71,-100.5,66.99,3.0
368,pasni,0,PK,1604803417,44,25.26,63.47,75.99,4.74
369,koumra,12,TD,1604803417,44,8.91,17.55,72.36,3.18
370,yaroslavskiy,100,RU,1604803417,52,44.17,132.21,75.49,17.16
371,mount gambier,0,AU,1604803068,48,-37.83,140.77,66.2,8.05
372,belmonte,75,BR,1604803121,88,-15.86,-38.88,77.0,8.05
373,zapolyarnyy,96,RU,1604803417,95,69.42,30.81,35.6,28.86
374,chara,48,RU,1604803417,79,56.91,118.26,0.57,1.92
375,marsabit,93,KE,1604803157,93,2.33,37.99,64.54,11.74
376,dzaoudzi,90,YT,1604803418,88,-12.79,45.27,77.0,2.24
377,labuan,20,MY,1604803418,70,5.28,115.24,86.0,4.7
378,syamzha,91,RU,1604803418,72,60.02,41.06,40.86,13.35
379,komsomolskiy,1,UZ,1604802962,26,40.43,71.72,44.6,6.93
380,ilam,0,NP,1604803418,43,26.92,87.92,66.09,1.05
381,inhambane,0,MZ,1604803008,86,-23.86,35.38,77.11,10.89
382,noyabrsk,100,RU,1604803303,98,63.2,75.45,33.62,12.17
383,narsaq,100,GL,1604803107,74,60.92,-46.05,28.4,5.82
384,fairbanks,90,US,1604803203,85,64.84,-147.72,23.0,4.7
