,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
385,conceicao do mato dentro,0,BR,1604803202,94,-19.04,-43.42,65.17,0.89
386,mantua,0,IT,1604803419,98,45.17,10.78,46.99,3.0
387,praia da vitoria,75,PT,1604803419,87,38.73,-27.07,57.2,11.48
388,ozinki,4,RU,1604803419,91,51.18,49.68,34.05,11.97
389,kingman,90,US,1604803216,65,35.19,-114.05,46.4,11.41
390,adana,0,TR,1604803419,45,36.98,35.29,62.6,9.17
391,barranca,24,PE,1604803200,90,-10.75,-77.77,59.22,5.68
392,novikovo,1,RU,1604803419,91,51.15,37.89,42.49,11.03
393,acari,44,PE,1604803391,60,-15.43,-74.62,64.22,2.39
394,pudozh,30,RU,1604803420,78,61.81,36.53,37.08,9.98
395,lyantonde,89,UG,1604803420,91,-0.4,31.16,62.44,2.84
396,hearst,100,CA,1604803420,98,49.68,-83.67,33.8,3.36
397,bonthe,100,SL,1604803420,86,7.53,-12.51,79.11,5.23
398,khandyga,97,RU,1604803420,87,62.67,135.6,-5.48,0.09
399,tilichiki,0,RU,1604803155,92,60.47,166.1,20.34,8.1
400,grand gaube,24,MU,1604802931,87,-20.01,57.66,71.01,8.01
401,vanavara,100,RU,1604803421,97,60.34,102.28,21.63,5.93
402,igrim,64,RU,1604802958,98,63.19,64.42,28.67,5.88
403,grindavik,40,IS,1604803286,65,63.84,-22.43,39.2,13.87
404,masterton,99,NZ,1604803166,72,-40.96,175.66,55.99,13.67
405,corinto,75,GR,1604803421,67,37.94,22.96,60.01,6.93
406,aliwal north,0,ZA,1604803421,45,-30.69,26.71,60.04,4.27
407,igarka,100,RU,1604803421,97,67.47,86.58,16.59,14.61
408,baruun-urt,0,MN,1604803421,72,46.68,113.28,27.14,12.91
409,narrabri,75,AU,1604803421,36,-30.32,149.78,75.2,6.93
410,kirkuk,0,IQ,1604803422,63,35.47,44.39,61.79,4.99
411,mabaruma,0,GY,1604803422,95,8.2,-59.78,75.06,2.28
412,nyirbeltek,90,HU,1604803422,100,47.7,22.13,35.6,2.04
413,san-pedro,14,CI,1604803422,89,4.75,-6.64,77.41,5.61
414,hunchun,0,CN,1604803422,57,42.87,130.36,39.72,24.0
415,ambunti,16,PG,1604803422,46,-4.24,142.84,92.68,3.15
416,touros,75,BR,1604803317,78,-5.2,-35.46,80.6,9.17
417,boyolangu,81,ID,1604803394,67,-8.12,111.89,83.62,6.24
418,los patios,97,CO,1604803423,83,7.84,-72.5,73.18,2.33
419,les cayes,100,HT,1604803423,86,18.2,-73.75,77.85,10.04
420,klang,20,MY,1604803423,70,3.03,101.45,86.0,2.24
421,bonfim,35,BR,1604803423,79,3.08,-59.95,79.84,2.24
422,kenai,90,US,1604803225,86,60.55,-151.26,27.0,14.99
423,san ramon,1,US,1604803423,71,37.78,-121.98,53.01,12.75
424,sakakah,0,SA,1604803423,51,29.97,40.21,62.6,9.17
425,agadez,29,NE,1604803054,44,19.75,10.25,63.03,13.47
426,pipri,0,IN,1604803423,43,19.8,75.53,70.09,6.85
427,saint-georges,20,GD,1604803082,83,12.06,-61.75,82.4,18.34
428,thayetmyo,0,MM,1604803424,72,19.32,95.18,81.28,8.1
429,palpa,38,PE,1604803424,69,-14.53,-75.19,64.89,2.95
430,moose factory,1,CA,1604803424,86,51.26,-80.61,30.2,11.41
431,venancio aires,23,BR,1604803424,94,-29.61,-52.19,61.29,1.99
432,aasiaat,5,GL,1604803424,86,68.71,-52.87,7.03,6.55
433,caraballeda,68,VE,1604803424,78,10.61,-66.85,79.43,6.4
434,yulara,32,AU,1604803424,7,-25.24,130.99,91.4,8.05
435,saint-augustin,98,CA,1604803274,89,51.23,-58.65,31.59,14.81
436,bambanglipuro,75,ID,1604803425,66,-7.95,110.28,85.06,9.42
437,wadi maliz,57,TN,1604803425,49,36.47,8.55,63.18,1.57
438,filadelfia,1,US,1604803298,76,39.95,-75.16,60.01,3.36
439,lagos,20,NG,1604803182,94,6.58,3.75,78.8,3.69
440,los arcos,95,PH,1604803425,56,8.63,125.99,89.89,2.75
441,ziri,0,SI,1604803425,76,46.04,14.11,45.0,1.07
442,sinegorsk,75,RU,1604803425,86,47.17,142.5,37.4,15.66
443,broken hill,0,AU,1604802688,20,-31.95,141.43,77.0,12.75
444,rawson,89,AR,1604803425,60,-43.3,-65.1,62.04,16.75
445,namibe,100,AO,1604803015,70,-15.2,12.15,68.63,5.06
446,buin,0,CL,1604803426,51,-33.73,-70.75,66.99,10.29
447,valdivia,100,CL,1604803131,87,-39.81,-73.25,48.2,2.24
448,jilin,0,CN,1604803426,75,43.0,126.0,32.77,18.07
449,kropotkin,3,RU,1604803426,87,45.44,40.58,44.85,2.35
450,boa vista,40,BR,1604803374,88,2.82,-60.67,77.0,2.24
451,paamiut,84,GL,1604803426,88,61.99,-49.67,26.76,30.6
452,dasoguz,90,TM,1604803426,87,41.84,59.97,48.2,6.93
453,sainte-marie,75,RE,1604803426,68,-20.9,55.55,71.6,13.87
454,erzin,0,TR,1604803426,56,36.96,36.2,59.0,11.99
455,poum,6,NC,1604803020,79,-20.23,164.02,76.41,22.03
456,carahue,0,CL,1604803427,93,-38.7,-73.17,50.0,3.36
457,lasem,45,ID,1604803427,60,-6.69,111.45,86.92,3.8
458,itaituba,97,BR,1604803427,94,-4.28,-55.98,75.38,1.99
459,huntington beach,40,US,1604803279,62,33.66,-118.0,57.99,5.82
460,provideniya,0,RU,1604803039,93,64.38,-173.3,27.41,5.48
461,lakefield,1,US,1604803427,67,43.68,-95.17,63.0,18.34
462,ifakara,14,TZ,1604803427,86,-8.13,36.68,71.83,2.35
463,bac lieu,43,VN,1604803428,75,9.29,105.72,83.57,9.31
464,ribeirao branco,2,BR,1604803428,95,-24.22,-48.77,55.22,3.69
465,geraldton,90,AU,1604803145,64,-28.77,114.6,73.4,11.41
466,sept-iles,2,CA,1604803390,68,50.2,-66.38,26.6,5.82
467,mardin,0,TR,1604803428,55,37.31,40.74,50.56,8.3
468,hasaki,75,JP,1604803106,73,35.73,140.83,69.8,9.17
469,paka,40,MY,1604803428,88,4.64,103.44,82.4,5.82
470,tarko-sale,100,RU,1604803428,94,64.92,77.78,32.0,13.11
471,nelson bay,40,AU,1604803429,56,-32.72,152.15,69.01,17.22
472,fengzhen,0,CN,1604803429,55,40.44,113.15,38.95,9.98
473,vestmannaeyjar,100,IS,1604803429,65,63.44,-20.27,43.95,16.58
474,kokoda,54,PG,1604803429,57,-8.88,147.74,86.5,4.92
475,mpongwe,1,ZM,1604803429,33,-13.51,28.16,65.55,5.41
476,rypefjord,100,NO,1604803429,96,70.63,23.67,37.4,46.08
477,quatre cocos,75,MU,1604803258,88,-20.21,57.76,71.6,9.17
478,mmathubudukwane,0,BW,1604803429,73,-24.6,26.43,69.8,6.93
479,soller,0,ES,1604803346,93,39.77,2.72,55.99,5.82
480,alekseyevka,0,RU,1604803429,92,50.63,38.69,41.76,9.89
481,quelimane,0,MZ,1604803430,83,-17.88,36.89,78.8,9.17
482,lasa,5,IT,1604802943,46,46.62,10.7,42.01,4.7
483,sombrio,76,BR,1604803430,90,-29.11,-49.62,64.8,3.62
484,villazon,100,BO,1604803430,84,-22.09,-65.59,44.35,6.38
485,tutoia,0,BR,1604803430,76,-2.76,-42.27,81.05,14.65
486,mandvi,0,IN,1604803430,34,22.83,69.37,80.73,8.25
487,lurgan,100,GB,1604803431,87,54.46,-6.33,51.8,12.75
488,aqtobe,90,KZ,1604803431,86,50.28,57.21,37.4,15.66
489,topeka,1,US,1604803431,59,39.05,-95.68,62.6,11.41
490,cabo san lucas,5,MX,1604803062,78,22.89,-109.91,78.8,3.36
491,hailey,75,US,1604803431,80,43.52,-114.32,41.0,4.7
492,gat,47,IL,1604803431,79,31.61,34.76,64.99,2.62
493,goderich,15,CA,1604803431,55,43.75,-81.72,60.8,13.87
494,espanola,90,US,1604803431,37,35.99,-106.08,55.4,8.05
495,gueret,0,FR,1604803431,93,46.17,1.87,55.4,5.82
496,ukiah,1,US,1604803200,57,39.15,-123.21,51.8,10.29
497,sterling,1,US,1604803432,76,39.01,-77.43,55.99,3.11
498,vila do maio,0,CV,1604802931,83,15.13,-23.22,77.0,13.87
499,westport,1,US,1604803236,82,41.14,-73.36,62.01,4.7
500,xining,90,CN,1604803432,64,36.62,101.77,38.28,0.09
501,auki,22,SB,1604803432,65,-8.77,160.7,86.38,4.03
502,sandwick,3,GB,1604803432,100,60.0,-1.25,44.6,1.12
503,lansdale,1,US,1604803432,81,40.24,-75.28,53.6,3.6
504,pitimbu,75,BR,1604803432,83,-7.47,-34.81,78.8,10.29
505,torbay,90,CA,1604802919,80,47.67,-52.73,37.0,12.75
506,asau,0,RO,1604803433,88,46.43,26.4,42.01,4.65
507,haines junction,100,CA,1604803315,83,60.75,-137.51,-7.6,1.12
508,krynychky,75,UA,1604803433,93,48.38,34.47,42.8,6.71
509,san andres,40,CO,1604803322,88,12.58,-81.7,78.8,2.24
510,chokwe,0,MZ,1604803433,41,-24.53,32.98,81.21,5.01
511,loandjili,100,CG,1604803433,86,-4.76,11.86,77.18,7.38
512,yeniseysk,48,RU,1604803433,92,58.45,92.17,35.62,5.88
513,juneau,75,US,1604803200,92,58.3,-134.42,28.0,4.07
514,waddan,1,LY,1604803433,92,29.16,16.14,56.01,7.74
515,batagay-alyta,16,RU,1604803434,80,67.8,130.41,-10.57,0.29
516,saint-ambroise,90,CA,1604803434,74,48.55,-71.33,41.0,12.75
517,sangueya,0,GN,1604803434,91,10.7,-14.37,76.78,1.74
518,panaba,0,MX,1604803434,94,21.28,-88.27,74.34,5.44
519,camacha,20,PT,1604803434,77,33.08,-16.33,66.2,9.17
520,jiayuguan,0,CN,1604803434,34,39.82,98.3,48.78,5.08
521,itarema,65,BR,1604803434,77,-2.92,-39.92,79.03,14.34
522,alihe,33,CN,1604803434,75,50.57,123.72,21.34,10.09
523,palmeira,0,BR,1604803434,82,-25.43,-50.01,58.12,4.56
524,ikalamavony,13,MG,1604803434,75,-21.15,46.58,70.32,4.07
525,polovinnoye,100,RU,1604803435,96,54.79,65.99,38.41,12.15
526,kudahuvadhoo,85,MV,1604803156,69,2.67,72.89,84.09,6.24
527,maxixe,0,MZ,1604803435,86,-23.86,35.35,76.59,10.11
528,huarmey,15,PE,1604803435,85,-10.07,-78.15,61.18,5.41
529,sao joao da barra,100,BR,1604803435,88,-21.64,-41.05,73.6,7.43
530,san jose,40,US,1604803372,58,37.34,-121.89,53.6,11.41
531,albury,0,AU,1604803435,46,-36.08,146.92,69.8,3.36
532,agadir,0,MA,1604803435,82,30.42,-9.6,57.2,4.7
533,sola,25,VU,1604803435,78,-13.88,167.55,82.08,11.43
534,santa cruz,0,BO,1604803204,69,-17.8,-63.17,80.6,2.24
535,emba,100,KZ,1604803243,76,48.83,58.14,37.99,17.0
536,talnakh,75,RU,1604803436,85,69.49,88.4,19.4,22.37
537,sioux lookout,90,CA,1604803328,93,50.1,-91.92,32.0,6.93
538,talkha,1,EG,1604803436,83,31.05,31.38,61.45,5.93
539,serenje,14,ZM,1604803436,55,-13.23,30.24,60.67,1.68
540,anchorage,90,US,1604803418,79,61.22,-149.9,26.01,5.82
541,rapar,0,IN,1604803436,41,23.57,70.63,79.09,5.39
542,bilma,0,NE,1604803436,44,18.69,12.92,65.1,12.59
543,san policarpo,94,PH,1604803436,75,12.18,125.51,83.3,8.52
544,shimanovsk,12,RU,1604803437,86,52.0,127.7,15.53,13.47
545,payson,90,US,1604803437,80,40.04,-111.73,39.99,11.41
546,mega,46,ET,1604803437,100,4.05,38.3,58.5,5.17
547,zhangye,0,CN,1604803146,34,38.93,100.45,50.63,1.48
548,hofn,67,IS,1604803437,82,64.25,-15.21,44.04,15.32
549,makinsk,100,KZ,1604803437,88,52.63,70.42,38.66,24.61
550,nanfeng,0,CN,1604803437,46,23.74,111.8,77.02,4.88
551,dillingen,0,DE,1604803437,93,49.35,6.73,42.8,3.36
552,lavra,75,PT,1604803438,82,41.26,-8.72,62.6,21.92
553,shache,2,CN,1604803438,41,38.42,77.24,46.6,2.55
554,gimli,100,CA,1604803438,80,50.63,-96.99,37.4,18.34
555,nogliki,95,RU,1604803438,87,51.83,143.17,28.74,11.45
556,kruisfontein,0,ZA,1604803438,91,-34.0,24.73,55.99,1.99
557,katangli,95,RU,1604803438,86,51.71,143.23,28.4,11.14
558,leninskoye,100,KZ,1604803438,30,41.76,69.39,55.4,4.7
559,pokaran,0,IN,1604803438,19,26.92,71.92,77.43,5.03
560,japura,97,ID,1604803439,70,-0.32,102.35,85.53,2.86
561,mangrol,0,IN,1604803232,39,21.12,70.12,78.15,10.11
562,harrismith,0,ZA,1604803439,56,-28.27,29.13,58.08,2.98
563,karasjok,90,NO,1604803439,74,69.47,25.51,37.4,59.73
564,caronport,85,CA,1604803439,77,50.45,-105.82,32.0,5.82
565,montepuez,74,MZ,1604803439,89,-13.13,39.0,68.76,2.86
566,tigil,24,RU,1604803439,88,57.8,158.67,30.56,5.39
567,kurayoshi,75,JP,1604803439,64,35.43,133.82,68.0,13.87
568,luoyang,46,CN,1604803439,28,34.68,112.45,60.48,9.28
569,mafra,28,BR,1604803439,94,-26.11,-49.81,55.0,4.0
570,nanhai,0,CN,1604803440,40,30.13,111.78,69.01,7.85
571,rio grande,0,BR,1604803440,90,-32.03,-52.1,62.87,10.89
572,samarai,60,PG,1604803282,79,-10.62,150.67,82.26,12.17
573,coquimbo,99,CL,1604803305,87,-29.95,-71.34,55.4,4.7
574,waitati,2,NZ,1604803440,48,-45.75,170.57,55.0,15.99
575,kurilsk,72,RU,1604803328,73,45.23,147.88,47.71,14.72
576,grootfontein,13,NA,1604803440,22,-19.57,18.12,71.15,11.27
577,port hardy,20,CA,1604803440,56,50.7,-127.42,46.4,13.87
578,mumford,100,GH,1604803441,84,5.26,-0.76,78.82,10.85
579,la libertad,92,EC,1604803441,84,-2.23,-80.9,70.47,11.3
580,norsup,75,VU,1604803441,74,-16.07,167.38,84.2,9.17
581,thiers,75,FR,1604803441,67,45.83,3.5,59.0,5.82
582,lucea,90,JM,1604803441,88,18.45,-78.17,79.0,6.93
583,neryungri,99,RU,1604803441,88,56.67,124.65,0.7,10.65
584,dingle,21,PH,1604803441,72,11.0,122.67,83.3,4.21
585,de-kastri,41,RU,1604803442,82,51.47,140.78,27.54,11.65
586,bilibino,100,RU,1604803442,91,68.05,166.44,1.15,1.86
587,kerouane,0,GN,1604803442,55,9.27,-9.02,68.99,2.08
588,kingaroy,75,AU,1604803442,60,-26.53,151.83,71.01,14.99
589,la rioja,90,ES,1604803442,100,42.25,-2.5,53.01,6.42
590,kalmar,0,SE,1604803442,93,56.66,16.36,46.99,6.93
